bathrooms,bedrooms,city,homeStatus,homeType,latitude,livingArea,longitude,price,state,streetAddress,zipcode,zpid
2.0,3.0,Jamaica,FOR_SALE,SINGLE_FAMILY,40.69947,1399.0,-73.81743,699000.0,NY,89-48 134th St,11418,32120598
2.0,4.0,Flushing,FOR_SALE,SINGLE_FAMILY,40.748238,1942.0,-73.78543,999000.0,NY,5012 194th Street,11365,32052222
2.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.547825,1504.0,-74.15885,748888.0,NY,156 Wilson Ave,10308,32352626
9.0,8.0,Brooklyn,FOR_SALE,SINGLE_FAMILY,40.5785,8000.0,-73.94392,11600000.0,NY,176 Irwin St,11235,30791112
2.0,3.0,New York,FOR_SALE,CONDO,40.775345,0.0,-73.961334,725000.0,NY,888 Park Ave,10075,31534248
2.0,2.0,Woodside,FOR_SALE,CONDO,40.744595,810.0,-73.91523,899990.0,NY,49-07 43rd Avenue #7F,11377,83053177
3.0,2.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.58463,1404.0,-74.158775,649000.0,NY,22 Villa Nova St,10314,32313988
6.0,5.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.51941,4466.0,-74.20413,1799999.0,NY,237 Bayview Ave,10309,89076284
2.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.543583,1280.0,-74.172585,599000.0,NY,31 Ray St,10312,143782316
2.0,2.0,Howard Beach,FOR_SALE,CONDO,40.66834,950.0,-73.84845,279888.0,NY,86-10 151 Avenue #4G,11414,79741134
2.0,3.0,Bronx,FOR_SALE,SINGLE_FAMILY,40.851078,1632.0,-73.832306,649000.0,NY,1959B Edison Avenue,10461,29816668
3.0,4.0,Staten Island,FOR_SALE,MULTI_FAMILY,40.579556,2112.0,-74.08815,699000.0,NY,244 Slater Blvd,10305,32332284
7.0,4.0,New York,FOR_SALE,SINGLE_FAMILY,40.774235,5100.0,-73.95369,5450000.0,NY,308 E 81st St,10028,31543959
3.0,4.0,Long Island City,FOR_SALE,SINGLE_FAMILY,40.7471,1728.0,-73.9468,1100000.0,NY,2124 45th Ave,11101,2101696146
